epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.185,0.90019,5.44986,0.00801,0.00796,0.9951,0.18321,0.14509,0.68577,7.02986,0.00902,0.000408654,0.000408654,0.000408654
2,41.521,0.94016,4.01081,0.0083,0.62984,0.47581,0.60956,0.48674,0.75126,5.43562,0.00897,0.00082527,0.00082527,0.00082527
3,59.5439,0.97867,3.13991,0.00879,0.74088,0.78369,0.85732,0.65293,0.92822,4.13042,0.01195,0.00124168,0.00124168,0.00124168
4,77.3855,0.9476,2.54269,0.00854,0.84094,0.83315,0.91944,0.72286,0.86074,3.05328,0.0104,0.00124931,0.00124931,0.00124931
5,94.9221,0.93073,2.08898,0.00829,0.85544,0.82711,0.92936,0.76835,0.71979,2.3241,0.0086,0.00124878,0.00124878,0.00124878
6,112.164,0.90513,1.75453,0.00787,0.87584,0.87312,0.95235,0.76595,0.7999,1.85826,0.00971,0.00124809,0.00124809,0.00124809
7,129.588,0.89087,1.39096,0.00754,0.85338,0.91036,0.95824,0.79219,0.7241,1.47439,0.00831,0.00124725,0.00124725,0.00124725
8,147.009,0.87797,1.20696,0.00752,0.86672,0.84768,0.93998,0.7684,0.75085,1.28995,0.00887,0.00124626,0.00124626,0.00124626
9,164.207,0.89304,1.06557,0.00744,0.84811,0.90883,0.95203,0.77617,0.73298,1.10062,0.0083,0.00124512,0.00124512,0.00124512
10,180.388,0.88354,1.01605,0.00766,0.86863,0.90009,0.95714,0.78235,0.74945,0.94709,0.00838,0.00124383,0.00124383,0.00124383
11,197.893,0.8874,0.92458,0.00771,0.82505,0.96201,0.96759,0.80613,0.69143,0.79645,0.00795,0.00124238,0.00124238,0.00124238
12,215.287,0.86679,0.87891,0.00758,0.88331,0.8843,0.95773,0.76632,0.80661,0.7674,0.00938,0.00124079,0.00124079,0.00124079
13,232.833,0.85494,0.79879,0.00746,0.88864,0.92485,0.96794,0.80004,0.69898,0.6753,0.00786,0.00123904,0.00123904,0.00123904
14,249.641,0.8623,0.74453,0.00728,0.88687,0.94755,0.96806,0.79126,0.75788,0.6222,0.00922,0.00123714,0.00123714,0.00123714
15,266.428,0.85691,0.70644,0.00737,0.93132,0.91847,0.9789,0.82291,0.67934,0.53836,0.00783,0.0012351,0.0012351,0.0012351
16,283.459,0.84988,0.67634,0.00749,0.91095,0.91665,0.97621,0.80402,0.75953,0.5257,0.00891,0.0012329,0.0012329,0.0012329
17,300.266,0.8488,0.6802,0.00721,0.91921,0.92919,0.97961,0.82463,0.6519,0.50279,0.00738,0.00123056,0.00123056,0.00123056
18,317.064,0.82972,0.63713,0.00696,0.94373,0.92373,0.97705,0.82989,0.64152,0.48068,0.00731,0.00122807,0.00122807,0.00122807
19,334.582,0.82935,0.62747,0.00717,0.93386,0.92058,0.97995,0.82321,0.68028,0.42851,0.00783,0.00122543,0.00122543,0.00122543
20,351.233,0.83722,0.60006,0.00716,0.93119,0.94259,0.9823,0.81234,0.6778,0.42958,0.00749,0.00122265,0.00122265,0.00122265
21,368.15,0.824,0.59805,0.00684,0.93285,0.92826,0.97726,0.80655,0.66876,0.43282,0.00787,0.00121972,0.00121972,0.00121972
22,385.131,0.83107,0.56078,0.00696,0.96222,0.92011,0.98372,0.81348,0.71202,0.39479,0.00823,0.00121664,0.00121664,0.00121664
23,402.619,0.7998,0.55131,0.00676,0.92881,0.92997,0.9757,0.81964,0.65387,0.41233,0.00759,0.00121342,0.00121342,0.00121342
24,419.611,0.81548,0.5532,0.00689,0.93384,0.94956,0.983,0.81741,0.68906,0.37257,0.00788,0.00121006,0.00121006,0.00121006
25,438.648,0.80464,0.5384,0.00654,0.93093,0.93136,0.98064,0.81666,0.66271,0.36485,0.00764,0.00120655,0.00120655,0.00120655
26,456.284,0.80894,0.53128,0.00675,0.92697,0.97693,0.98566,0.82693,0.6511,0.35122,0.0074,0.0012029,0.0012029,0.0012029
27,471.506,0.81915,0.51466,0.00716,0.92809,0.95698,0.98248,0.80321,0.71508,0.38635,0.00848,0.00119911,0.00119911,0.00119911
28,490.201,0.8079,0.50362,0.00684,0.96166,0.94369,0.98324,0.82392,0.65205,0.3651,0.00742,0.00119518,0.00119518,0.00119518
29,510.665,0.8033,0.51137,0.00691,0.9084,0.96293,0.98398,0.80245,0.72796,0.36463,0.00873,0.00119111,0.00119111,0.00119111
30,528.524,0.81183,0.514,0.00695,0.96965,0.9528,0.98818,0.8139,0.71368,0.31856,0.00845,0.0011869,0.0011869,0.0011869
31,548.262,0.81997,0.49791,0.00704,0.93567,0.9773,0.98919,0.82909,0.63265,0.30752,0.00721,0.00118256,0.00118256,0.00118256
32,566.465,0.78008,0.50056,0.00663,0.92759,0.94789,0.98552,0.82513,0.66413,0.33238,0.00746,0.00117808,0.00117808,0.00117808
33,584.854,0.79368,0.49146,0.00658,0.95957,0.92189,0.98509,0.82598,0.67298,0.33097,0.00781,0.00117346,0.00117346,0.00117346
34,603.026,0.79091,0.47192,0.00685,0.93685,0.95054,0.98594,0.84022,0.62918,0.31113,0.00706,0.00116872,0.00116872,0.00116872
