epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.1965,0.80387,3.35601,1.04515,0.00644,1,0.30981,0.24559,0.74631,2.79636,0.84301,0.0002125,0.0002125,0.0002125
2,13.1205,0.70281,2.0582,0.89968,0.49722,0.35167,0.59349,0.4702,0.58676,2.54388,0.82273,0.000433169,0.000433169,0.000433169
3,16.5329,0.71663,1.5812,0.90384,0.81003,0.60315,0.94079,0.79653,0.71142,1.96524,0.88355,0.000649382,0.000649382,0.000649382
4,19.7634,0.69187,1.2658,0.90237,0.78024,0.80408,0.9028,0.76926,0.68759,1.49138,0.87468,0.000861141,0.000861141,0.000861141
5,22.9105,0.70935,1.14192,0.9064,0.9007,0.96048,0.97449,0.78809,0.81142,1.2606,0.89007,0.00106844,0.00106844,0.00106844
6,25.9761,0.67946,1.18308,0.89363,0.83915,0.97476,0.96687,0.81942,0.67871,1.07038,0.85896,0.00118812,0.00118812,0.00118812
7,28.9077,0.6829,0.9971,0.8993,0.8681,0.98029,0.96243,0.83209,0.66488,1.05674,0.87049,0.00117575,0.00117575,0.00117575
8,31.9802,0.69698,1.01547,0.90569,0.86767,0.98259,0.97904,0.84787,0.72523,0.81264,0.89191,0.00116337,0.00116337,0.00116337
9,34.7285,0.68072,0.93729,0.90532,0.93353,0.99289,0.98751,0.85443,0.60983,0.73718,0.85814,0.001151,0.001151,0.001151
10,37.5358,0.63645,0.88446,0.8978,0.9608,0.991,0.99347,0.85428,0.60275,0.69182,0.83852,0.00113863,0.00113863,0.00113863
11,40.3013,0.64868,0.86569,0.89941,0.86276,0.95096,0.98904,0.84898,0.60872,0.80629,0.84171,0.00112625,0.00112625,0.00112625
12,42.8719,0.63165,0.8849,0.8961,0.93701,0.92381,0.995,0.85745,0.66758,0.76282,0.84759,0.00111388,0.00111388,0.00111388
13,45.4641,0.64731,0.83731,0.89131,0.95448,0.94203,0.99068,0.87135,0.5973,0.67323,0.84176,0.0011015,0.0011015,0.0011015
14,48.1054,0.597,0.77461,0.87874,0.90696,0.97602,0.97898,0.86022,0.56012,0.65413,0.8298,0.00108913,0.00108913,0.00108913
15,50.7013,0.61218,0.79123,0.89378,0.91962,0.97217,0.99333,0.86927,0.61259,0.67142,0.83839,0.00107675,0.00107675,0.00107675
16,53.4783,0.60719,0.73493,0.89301,0.9589,0.97906,0.99261,0.85271,0.58466,0.54818,0.82159,0.00106437,0.00106437,0.00106437
17,56.0495,0.63587,0.73805,0.89644,0.94334,0.97826,0.98589,0.86618,0.57447,0.56388,0.83448,0.001052,0.001052,0.001052
18,58.6603,0.62677,0.69826,0.89159,0.96008,0.98836,0.99039,0.86805,0.5744,0.49234,0.83422,0.00103962,0.00103962,0.00103962
19,61.1737,0.61541,0.67357,0.87394,0.92352,0.98799,0.99014,0.88316,0.56774,0.51241,0.8235,0.00102725,0.00102725,0.00102725
20,63.7589,0.62894,0.71127,0.89499,0.91097,0.97059,0.95593,0.8531,0.51285,0.5526,0.81129,0.00101488,0.00101488,0.00101488
21,66.325,0.58655,0.64857,0.88384,0.94612,1,0.98401,0.88554,0.54124,0.52325,0.81324,0.0010025,0.0010025,0.0010025
22,69.1921,0.58606,0.63521,0.88426,0.94645,1,0.98539,0.87884,0.56785,0.48521,0.80958,0.000990125,0.000990125,0.000990125
23,71.5729,0.57796,0.61225,0.8744,0.95718,0.96991,0.98909,0.88045,0.55895,0.44465,0.8055,0.00097775,0.00097775,0.00097775
24,74.0095,0.58594,0.61795,0.8857,0.95129,1,0.99347,0.8876,0.54782,0.46036,0.81182,0.000965375,0.000965375,0.000965375
25,76.3224,0.57489,0.61456,0.87783,0.96292,0.985,0.9922,0.87297,0.54012,0.43722,0.80955,0.000953,0.000953,0.000953
26,78.6733,0.55943,0.60582,0.87548,0.96434,1,0.99402,0.89721,0.63033,0.42155,0.84193,0.000940625,0.000940625,0.000940625
27,81.0373,0.55691,0.58816,0.88404,0.99186,0.99337,0.995,0.86867,0.5609,0.42543,0.8189,0.00092825,0.00092825,0.00092825
28,83.4055,0.61419,0.60265,0.89508,0.98122,1,0.99261,0.88883,0.58903,0.43023,0.81804,0.000915875,0.000915875,0.000915875
29,85.792,0.5628,0.54738,0.88456,0.96312,0.98078,0.99207,0.8952,0.56019,0.40842,0.81397,0.0009035,0.0009035,0.0009035
30,88.1162,0.55603,0.55942,0.87525,0.93104,1,0.99347,0.90783,0.56075,0.47161,0.80838,0.000891125,0.000891125,0.000891125
31,90.483,0.54065,0.55455,0.87611,0.96667,0.97876,0.99128,0.88086,0.54039,0.39057,0.81569,0.00087875,0.00087875,0.00087875
32,92.9143,0.56132,0.54256,0.88314,0.99092,0.97919,0.995,0.88374,0.50733,0.41049,0.81388,0.000866375,0.000866375,0.000866375
33,95.2334,0.5374,0.51026,0.86854,0.97431,1,0.995,0.89009,0.52005,0.40808,0.80885,0.000854,0.000854,0.000854
34,97.582,0.54304,0.53865,0.87193,0.97866,0.99295,0.995,0.89659,0.57768,0.44037,0.81137,0.000841625,0.000841625,0.000841625
35,99.914,0.5549,0.51779,0.87476,0.97856,0.99566,0.99359,0.88904,0.53553,0.39552,0.81513,0.00082925,0.00082925,0.00082925
36,102.311,0.52778,0.50915,0.86777,0.91865,1,0.99359,0.8945,0.50735,0.43343,0.8087,0.000816875,0.000816875,0.000816875
37,104.625,0.53885,0.51386,0.8701,0.90753,0.99879,0.99359,0.89993,0.53298,0.46006,0.81158,0.0008045,0.0008045,0.0008045
38,106.96,0.55138,0.52671,0.88007,0.93913,0.99246,0.98313,0.88103,0.57196,0.45232,0.81426,0.000792125,0.000792125,0.000792125
